qualification_code,sequence,unit_code,unit_name
BSB30120,1,BSBPEF201,Support personal wellbeing in the workplace
BSB30120,2,BSBSUS211,Participate in sustainable work practices
BSB30120,3,BSBWHS311,Assist with maintaining workplace safety
BSB30120,4,BSBTWK301,Use inclusive work practices 
BSB30120,5,BSBXCM301,Engage in workplace communication
BSB30120,6,BSBWRT311,Write simple documents
BSB30120,7,BSBTEC301,Design and produce business documents
BSB30120,8,BSBTEC302,Design and produce spreadsheets 
BSB30120,9,BSBTEC303,Create electronic presentations
BSB30120,10,BSBPEF301,Organise personal work priorities 
BSB30120,11,BSBOPS303, Organise Schedules 
BSB30120,12,BSBLDR301,Support effective workplace relationships
BSB30120,13,BSBCRT311,Apply critical thinking skills in a team environmen
,,,
CHC33021D,1,CHCDIV001,Work with diverse people
CHC33021D,2,CHCLEG001,Work legally and ethically 
CHC33021D,3,CHCCOM005,Communicate and work in health or community services
CHC33021D,4,CHCCCS041,Recognise healthy body systems 
CHC33021D,5,HLTWHS002,Follow safe work practices for direct client care 
CHC33021D,6,HLTAID011, Provide First Aid
CHC33021D,7,HLTINF006,Apply basic principles and practices of infection prevention and control
CHC33021D,8,CHCCCS031,Provide individualised support 
CHC33021D,9,CHCDIS020,Work effectively in disability support 
CHC33021D,10,CHCCCS036, Support relationships with carer and family 
CHC33021D,11,CHCCCS044,Follow established person-centred behaviour supports
CHC33021D,12,CHCDIS011,Contribute to ongoing skills development using a strengths-based approach
CHC33021D,13,CHCCCS040,Support independence and wellbeing
CHC33021D,14,CHCCCS038,Facilitate the empowerment of people receiving support
CHC33021D,15,CHCDIS012,Support community participation and social inclusion
,,,
CHC52021,1,CHCDIV001,Work with diverse people
CHC52021,2,CHCLEG003,Manage legal and ethical compliance 
CHC52021,3,CHCDIV002,Promote Aboriginal and/or Torres Strait Islander cultural safety
CHC52021,4,CHCCCS004,Assess co-existing needs 
CHC52021,5,CHCCCS009, Facilitate responsible behaviour
CHC52021,6,CHCCCS019,Recognise and respond to crisis situations 
CHC52021,7,CHCMGT005,Facilitate workplace debriefing and support processes
CHC52021,8,CHCADV002,Provide advocacy and representation services
CHC52021,9,CHCPRP001,Develop and maintain networks and collaborative partnerships
CHC52021,10,CHCCCS007/CHCDEV005,Develop and implement service programs/Analyse impacts of sociological factors on people in community work and services
CHC52021,12,CHCSOH013,Work with people experiencing or at risk of homelessness 
CHC52021,13,CHCDFV001,Recognise and respond appropriately to domestic and family violence 
CHC52021,14,CHCMHS005,Provide services to people with co-existing mental health and alcohol and other drugs issues
CHC52021,15,CHCPRP003,Reflect on and improve own professional practice
CHC52021,16,HLTWHS003, Maintain work health and safety 
CHC52021,17,CHCCSM013, Facilitate and review case management 
CHC52021,18,CHCMHS007,Work effectively in trauma informed care
CHC52021,19,CHCMHS013, Implement trauma and informed care
CHC52021,20,CHCCSM014,Provide case management supervision
,,,
SHB30416 ,1,SHBHBAS001,Provide shampoo and basin services
SHB30416 ,2,SHBHBAS002,"Provide head, neck and shoulder massages for relaxation"
SHB30416 ,3,SHBHTRI001,Identify and treat hair and scalp conditions
SHB30416 ,4,SHBHDES002,Braid hair
SHB30416 ,5,SHBHDES003,Create finished hair designs
SHB30416 ,6,SHBXIND002,Communicate as part of a salon team
SHB30416 ,7,SHBXWHS001,"Apply safe hygiene, health and work practices"
SHB30416,8,SHBXCCS002,Provide salon services to clients
SHB30416,9,SHBHIND001,"Maintain and organise tools, equipment and work areas"
