qualification_code,qualification_name
SHB30416 ,Certificate III in Hairdressing
BSB30120 ,Certificate III in Business
CHC33021D ,Certificate III in Individual Support-Disability
CHC33021A ,Certificate III in Individual Support-Ageing
CHC30121 ,Certificate III in Early Childhood Education and Care
CHC50121 ,Diploma of Early Childhood Education and Care
SIT30816 ,Certificate III in Commercial Cookery
CHC52015 ,Diploma of Community Services
SIR30216 ,Certificate III in Retail
BSB40520 ,Certificate IV in Leadership and Management

